Wall time,Step,Value
1751247961.259119,0,0.25437214970588684
1751247961.5495687,1,0.2533501982688904
1751247961.9675555,2,0.25301316380500793
1751247962.227896,3,0.25291749835014343
1751247962.4868703,4,0.25296732783317566
1751247962.7129972,5,0.25308915972709656
1751247962.9449022,6,0.2530660331249237
1751247963.1707282,7,0.25286030769348145
1751247963.5773106,8,0.2525079846382141
1751247963.8358028,9,0.2519555985927582
1751247964.0877886,10,0.25108587741851807
1751247964.338964,11,0.24985052645206451
1751247964.589679,12,0.2482749968767166
1751247964.8461359,13,0.24642272293567657
1751247965.2384357,14,0.24434418976306915
1751247965.4916837,15,0.24205197393894196
1751247965.7452214,16,0.2395678609609604
1751247965.9974842,17,0.23684100806713104
1751247966.251402,18,0.23386377096176147
1751247966.5051033,19,0.23063476383686066
1751247966.896862,20,0.2271670401096344
1751247967.151362,21,0.22336600720882416
1751247967.4044068,22,0.21926625072956085
1751247967.6591687,23,0.2148188352584839
1751247967.9121044,24,0.20994824171066284
1751247968.1670353,25,0.20455971360206604
1751247968.5517085,26,0.1987096071243286
1751247968.8095052,27,0.19241662323474884
1751247969.069384,28,0.1859140247106552
1751247969.3275774,29,0.1792883425951004
1751247969.582709,30,0.17260825634002686
1751247969.836979,31,0.16592372953891754
1751247970.232637,32,0.15928712487220764
1751247970.4900665,33,0.1527373194694519
1751247970.7434676,34,0.14618900418281555
1751247970.9969773,35,0.13958843052387238
1751247971.249844,36,0.13294431567192078
1751247971.5028467,37,0.12634611129760742
1751247971.880521,38,0.11994867771863937
1751247972.132913,39,0.11393875628709793
1751247972.3852856,40,0.10843995958566666
1751247972.63572,41,0.10344491899013519
1751247972.8923984,42,0.09884001314640045
1751247973.1534505,43,0.09451223164796829
1751247973.5331874,44,0.09039708971977234
1751247973.7902303,45,0.08653904497623444
1751247974.0486133,46,0.08292206376791
1751247974.3091404,47,0.07954347878694534
1751247974.5714195,48,0.07640725374221802
1751247974.9726524,49,0.0735674574971199
1751247975.2314487,50,0.07106347382068634
1751247975.4914815,51,0.06882481276988983
1751247975.7517066,52,0.06669933348894119
1751247976.0065365,53,0.0646791085600853
1751247976.2639613,54,0.06279833614826202
1751247976.6681986,55,0.061115000396966934
1751247976.9284134,56,0.05963961035013199
1751247977.189958,57,0.05835757404565811
1751247977.456367,58,0.05722837895154953
1751247977.7148585,59,0.05623979493975639
1751247977.9750347,60,0.05542388930916786
1751247978.3757489,61,0.05477409064769745
1751247978.6361039,62,0.0542299747467041
1751247978.9001482,63,0.05373772978782654
1751247979.1585684,64,0.053283825516700745
1751247979.4196262,65,0.05289028212428093
1751247979.6832051,66,0.052638646215200424
1751247980.08655,67,0.05247464403510094
1751247980.3480825,68,0.05238107591867447
1751247980.6102283,69,0.05230718106031418
1751247980.8762083,70,0.05220740661025047
1751247981.138373,71,0.05204647034406662
1751247981.4054067,72,0.05186072364449501
1751247981.8111749,73,0.05171578377485275
1751247982.0732856,74,0.0516633540391922
1751247982.3338883,75,0.05167757347226143
1751247982.567338,76,0.05169835686683655
1751247982.7996235,77,0.05170712247490883
1751247983.0320356,78,0.051705993711948395
1751247983.4089196,79,0.051704827696084976
1751247983.6446316,80,0.05174323543906212
1751247983.8777578,81,0.05181058123707771
1751247984.1106212,82,0.05188228562474251
1751247984.3446734,83,0.05192970484495163
1751247984.5748146,84,0.05194941163063049
1751247984.9425962,85,0.05197359621524811
1751247985.1725273,86,0.05201678350567818
1751247985.406208,87,0.05208512395620346
1751247985.6376548,88,0.05212685465812683
1751247985.866783,89,0.05219162628054619
1751247986.097307,90,0.05223562940955162
1751247986.4635556,91,0.05226573348045349
1751247986.6942763,92,0.05229504406452179
